Date,SST
2017-07-09,9.78
2017-07-09,9.5
2017-07-09,9.39
2017-07-09,9.5
2017-07-09,10.5
2017-07-09,11.28
2017-07-09,10.61
2017-07-09,11.28
2017-07-09,11.78
2017-07-09,13.78
2017-07-09,14.72
2017-07-09,14.61
2017-07-09,12.28
2017-07-09,9.61
2017-07-09,9.28
2017-07-09,9.28
2017-07-09,9.5
2017-07-09,9.78
2017-07-10,10.28
2017-07-10,12
2017-07-10,12
2017-07-10,12.39
2017-07-10,12.39
2017-07-10,11.78
2017-07-10,10.61
2017-07-10,9.5
2017-07-10,9.39
2017-07-10,9.39
2017-07-10,9.72
2017-07-10,11.5
2017-07-10,10.72
2017-07-10,10.89
2017-07-10,11.72
2017-07-10,12.5
2017-07-10,14.5
2017-07-10,15.22
2017-07-10,13.22
2017-07-10,10.28
2017-07-10,9.5
2017-07-10,9.39
2017-07-10,9.22
2017-07-10,9.39
2017-07-11,10.11
2017-07-11,11.89
2017-07-11,11.39
2017-07-11,11.78
2017-07-11,12.22
2017-07-11,12
2017-07-11,11.22
2017-07-11,10.28
2017-07-11,9.61
2017-07-11,9.61
2017-07-11,9.61
2017-07-11,9.89
2017-07-11,10.61
2017-07-11,10.39
2017-07-11,10.78
2017-07-11,11.61
2017-07-11,12.89
2017-07-11,14.72
2017-07-11,15
2017-07-11,12.28
2017-07-11,9.72
2017-07-11,9.39
2017-07-11,9.22
2017-07-11,9.28
2017-07-12,9.5
2017-07-12,10.89
2017-07-12,12.28
2017-07-12,11.89
2017-07-12,12.22
2017-07-12,12.39
2017-07-12,11.78
2017-07-12,11
2017-07-12,9.72
2017-07-12,9.39
2017-07-12,9.39
2017-07-12,9.5
2017-07-12,9.89
2017-07-12,10.22
2017-07-12,10.28
2017-07-12,11
2017-07-12,12.39
2017-07-12,13.28
2017-07-12,14.72
2017-07-12,12.78
2017-07-12,10.61
2017-07-12,9.72
2017-07-12,9.39
2017-07-12,9.39
2017-07-13,9.5
2017-07-13,9.61
2017-07-13,11.11
2017-07-13,11.72
2017-07-13,11.39
2017-07-13,11.78
2017-07-13,12.11
2017-07-13,11.72
2017-07-13,10.78
2017-07-13,9.78
2017-07-13,9.61
2017-07-13,9.61
2017-07-13,9.78
2017-07-13,10.78
2017-07-13,10.39
2017-07-13,10.72
2017-07-13,11.61
2017-07-13,13.11
2017-07-13,14.39
2017-07-13,14.61
2017-07-13,12.28
2017-07-13,10.39
2017-07-13,10
2017-07-13,10
2017-07-14,10
2017-07-14,10
2017-07-14,11
2017-07-14,12.11
2017-07-14,11.61
2017-07-14,12.11
2017-07-14,12.39
2017-07-14,12.61
2017-07-14,12.28
2017-07-14,11.22
2017-07-14,10.28
2017-07-14,10
2017-07-14,10.22
2017-07-14,10.28
2017-07-14,11.28
2017-07-14,10.78
2017-07-14,11.28
2017-07-14,12.22
