alkalinity,tco2,pco2,co2,pHt,salinity,temp,year
2023.76,1904.55,434.36,19.48,7.975,29.578,10.274,2017
2023.3,1905.33,435.02,19.57,7.975,29.355,10.221,2017
2007.16,1895.54,448.7,20.24,7.96,29.169,10.183,2017
1968.38,1857.87,426.05,19.46,7.974,28.4,9.927,2017
2025.66,1902.96,419.99,18.94,7.988,29.488,10.128,2017
2053.14,1925.72,422.48,18.91,7.99,30.0575,10.255,2017
2066.42,1935.46,418.69,18.69,7.995,30.245,10.304,2017
2072.06,1939.13,417,18.58,7.998,30.423,10.337,2017
2071.79,1938.57,416.11,18.53,7.999,30.403,10.3535,2017
2057.52,1929.58,421.9,18.88,7.992,29.978,10.283,2017
2008.5,1885.51,413.26,18.59,7.992,29.311,10.231,2017
1914.85,1803.48,401.08,18.27,7.989,27.671,10.141,2017
1853.96,1748.52,391.02,17.92,7.989,26.782,10.119,2017
1845.28,1732.23,362.84,16.61,8.017,26.5705,10.189,2017
1839.4,1716.86,332.43,15.23,8.05,26.455,10.1795,2017
1836.38,1707.8,316.7,14.45,8.068,26.378,10.308,2017
1814.76,1681.68,300.14,13.66,8.084,26.327,10.3995,2017
1813.41,1678.83,290.43,13.33,8.098,25.8985,10.219,2017
1810.63,1677.54,292.22,13.43,8.095,25.802,10.207,2017
1984.86,1856.03,381.72,17.26,8.019,28.814,10.17,2017
2089.58,1951.34,410.19,18.23,8.007,30.711,10.356,2017
2096.22,1957.18,411.47,18.28,8.006,30.861,10.348,2017
2108.25,1969.15,416.13,18.47,8.004,30.938,10.356,2017
2103.06,1968.23,423.9,18.89,7.996,30.7775,10.262,2017
2071.29,1945.75,438.35,19.61,7.978,30.507,10.19,2017
2040.87,1919.47,430.73,19.47,7.98,29.831,9.999,2017
2030.46,1912.86,435.14,19.76,7.975,29.529,9.921,2017
1977.35,1868.11,432.74,19.88,7.969,28.694,9.7075,2017
1967.78,1855.12,412.19,19.07,7.986,28.4435,9.54,2017
2046.49,1919.89,412.91,18.85,7.997,30.125,9.647,2017
2083.89,1946.12,402.92,18.14,8.012,30.671,9.981,2017
2091.46,1950.01,396.78,17.82,8.019,30.776,10.035,2017
2115.84,1970.94,396.67,17.76,8.024,30.832,10.1105,2017
1856.75,1732.73,339.1,15.4,8.045,26.732,10.387,2017
1846.52,1711.53,305.65,13.92,8.084,26.537,10.35,2017
1854.16,1717.15,304.55,13.83,8.086,26.593,10.433,2017
1836.32,1700.76,297.28,13.61,8.093,26.2125,10.237,2017
1831.35,1692.94,288.09,13.23,8.104,26.167,10.165,2017
1909.62,1765.31,302.05,13.84,8.099,27.04,10.069,2017
2076.21,1936.99,397.43,17.79,8.017,30.434,10.191,2017
2076.07,1937.97,401.34,17.96,8.013,30.517,10.186,2017
2102.76,1961.84,402.15,18.01,8.017,30.617,10.147,2017
2102.63,1963.19,406.42,18.22,8.012,30.699,10.102,2017
2096.75,1966.01,425.56,19.19,7.994,30.446,9.966,2017
2047.67,1924.44,421.82,19.29,7.989,29.95,9.634,2017
2033.79,1914.34,423.92,19.52,7.985,29.718,9.465,2017
2037.31,1924.1,443.44,20.49,7.968,29.604,9.384,2017
1998.87,1889.09,431.11,20.15,7.973,28.961,9.1565,2017
1974.02,1857.53,396.94,18.62,8.001,28.715,9.088,2017
2067.59,1936.06,396.98,18.4,8.016,30.101,9.2045,2017
2077.16,1941.93,399.14,18.24,8.015,30.48,9.5635,2017
2091.45,1951.12,394.97,17.88,8.021,30.643,9.818,2017
2099.25,1951.72,383.71,17.19,8.034,30.758,10.117,2017
2100.53,1954.17,384.05,17.27,8.034,30.582,10.028,2017
2033.45,1900.16,390.09,17.68,8.017,29.813,9.9175,2017
1988.94,1859.83,382.14,17.29,8.02,28.8435,10.148,2017
1942.04,1816.31,375.67,16.91,8.018,28.311,10.384,2017
1934.13,1802.31,352.46,15.88,8.043,27.827,10.456,2017
1905.72,1771.89,339.4,15.24,8.052,27.76,10.559,2017
1893.76,1757.26,327.94,14.74,8.063,27.659,10.551,2017
1895.99,1757.04,320.92,14.46,8.072,27.56,10.496,2017
1883.39,1745.42,318.62,14.38,8.072,27.514,10.447,2017
1914.87,1778.25,328.25,14.88,8.068,27.371,10.333,2017
2031.87,1891.93,371.12,16.84,8.036,29.879,9.882,2017
2041.9,1903.28,378.97,17.17,8.03,29.981,9.8955,2017
2076.65,1936.37,389.48,17.58,8.025,30.321,9.954,2017
2058.37,1922.86,399.26,17.98,8.011,30.443,9.998,2017
2054.43,1928.35,421.34,19.11,7.99,30.199,9.842,2017
2033.14,1915.76,426.7,19.73,7.983,29.496,9.385,2017
2046.76,1929.11,430.43,19.9,7.982,29.498,9.388,2017
1990.87,1883.55,442.94,20.58,7.96,29.315,9.265,2017
1999.71,1897.21,461.83,21.51,7.945,29.236,9.21,2017
1950.73,1848.77,431.2,20.45,7.964,28.5165,8.799,2017
1989.29,1876.24,414.05,19.5,7.986,29.135,8.894,2017
2041.11,1920.21,429.85,19.65,7.979,30.2885,9.579,2017
2057.98,1930.8,423.13,19.13,7.989,30.531,9.871,2017
2061.28,1930.04,413.35,18.63,7.998,30.544,9.962,2017
2079.22,1944.39,408.97,18.43,8.006,30.614,9.952,2017
2066.96,1937.54,414.93,18.83,7.999,30.2425,9.81,2017
2023.89,1899.73,410.08,18.72,7.996,29.709,9.7245,2017
2014.57,1890.05,405.88,18.5,7.999,29.604,9.786,2017
1999.36,1873.71,388.96,17.87,8.014,28.962,9.662,2017
