Date,Temp,Salinity,pH
2020-04-26,12.4442,27.544867,8.207711643
2020-04-26,12.4521,27.5468244,8.207334169
2020-04-26,12.4051,27.5487817,8.200562673
2020-04-26,12.3612,27.550739,8.168426729
2020-04-26,12.4402,27.5526963,8.201353085
2020-04-26,12.4615,27.5546537,8.200638406
2020-04-26,12.5131,27.556611,8.203762707
2020-04-26,12.4847,27.5585683,8.196483982
2020-04-26,12.461,27.5605256,8.196098944
2020-04-26,12.5089,27.562483,8.205546238
2020-04-26,12.5389,27.5644403,8.205380294
2020-04-26,12.5323,27.5663976,8.201953324
2020-04-26,12.5327,27.5683549,8.206194281
2020-04-26,12.5162,27.5703123,8.199643885
2020-04-26,12.5292,27.5722696,8.206665238
2020-04-26,12.5084,27.5742269,8.195084668
2020-04-26,12.3688,27.5761843,8.158755628
2020-04-26,12.1969,27.5781416,8.13079077
2020-04-26,12.0275,27.5800989,8.118691304
2020-04-26,11.834,27.5820562,8.081521181
2020-04-26,11.5634,27.5840136,8.021782072
2020-04-26,11.3964,27.5859709,8.027504976
2020-04-26,11.2752,27.5879282,8.016529443
2020-04-26,11.1036,27.5898855,7.986879501
2020-04-26,11.0416,27.5918429,7.991522385
2020-04-26,11.0305,27.5938002,8.004118615
2020-04-26,11.0437,27.5957575,8.020973122
2020-04-26,11.1236,27.5977148,8.032086444
2020-04-26,11.1772,27.5996722,8.03707441
2020-04-26,11.3682,27.6016295,8.091919776
2020-04-26,11.4279,27.6035868,8.102711173
2020-04-26,11.4812,27.6055442,8.104833122
2020-04-27,11.478,27.6075015,8.101142754
2020-04-27,11.4795,27.6094588,8.095236636
2020-04-27,11.4812,27.6114161,8.133115278
2020-04-27,11.5538,27.6133735,8.149018444
2020-04-27,11.6325,27.6153308,8.16193201
2020-04-27,11.686,27.6172881,8.152253327
2020-04-27,11.7387,27.6192454,8.151860373
2020-04-27,11.753,27.6212028,8.155115487
2020-04-27,11.7367,27.6231601,8.15145892
2020-04-27,11.7138,27.6251174,8.149427396
2020-04-27,11.6719,27.6270747,8.148048697
2020-04-27,11.5853,27.6290321,8.143621059
2020-04-27,11.5272,27.6309894,8.113656298
2020-04-27,11.4627,27.6329467,8.088152131
2020-04-27,11.368,27.634904,8.073464914
2020-04-27,11.3094,27.6368614,8.066944684
2020-04-27,11.2675,27.6388187,8.147681102
2020-04-27,11.2694,27.640776,8.124700172
2020-04-27,11.2879,27.6427334,8.143276292
2020-04-27,11.3122,27.6446907,8.135856298
2020-04-27,11.3687,27.646648,8.139039014
2020-04-27,11.3802,27.6486053,8.133062036
2020-04-27,11.3954,27.6505627,8.129418614
2020-04-27,11.4388,27.65252,8.11709901
2020-04-27,11.4442,27.6544773,8.111573769
2020-04-27,11.4525,27.6564346,8.109120121
2020-04-27,11.4608,27.658392,8.112828861
2020-04-27,11.4706,27.6603493,8.111697612
2020-04-27,11.498,27.6623066,8.125960754
2020-04-27,11.5335,27.6642639,8.129489571
2020-04-27,11.5567,27.6662213,8.130838483
2020-04-27,11.5566,27.6681786,8.123755145
2020-04-27,11.5315,27.6701359,8.106511731
2020-04-27,11.4587,27.6720933,8.083437132
2020-04-27,11.3685,27.6740506,8.047564192
2020-04-27,11.3179,27.6760079,8.05443339
2020-04-27,11.281,27.6779652,8.044791997
2020-04-27,11.3487,27.6799226,8.082771728
2020-04-27,11.4713,27.6818799,8.122901629
2020-04-27,11.5706,27.6838372,8.128422651
2020-04-27,11.5936,27.6857945,8.10478302
2020-04-27,11.5988,27.6877519,8.095494138
2020-04-27,11.5764,27.6897092,8.086457397
2020-04-27,11.6312,27.6916665,8.098414432
2020-04-27,11.6187,27.6936238,8.064058811
2020-04-27,11.5601,27.6955812,8.035788506
2020-04-27,11.4227,27.6975385,7.986978458
2020-04-27,11.321,27.6994958,7.961306136
2020-04-27,11.225,27.7014532,7.941873716
2020-04-27,11.1514,27.7034105,7.941166743
2020-04-27,11.0926,27.7053678,7.923995635
2020-04-27,11.0307,27.7073251,7.919312863
