time,chlorophyll
20170607T01:00:00Z,4.2
20170607T01:15:00Z,2.6
20170607T01:30:00Z,4.3
20170607T01:45:00Z,4.2
20170607T02:00:00Z,2.9
20170607T02:15:00Z,3.7
20170607T02:30:00Z,4.2
20170607T02:45:00Z,3.5
20170607T03:00:00Z,3.6
20170607T03:15:00Z,3.3
20170607T03:30:00Z,3.4
20170607T03:45:00Z,5.1
20170607T04:00:00Z,6.2
20170607T04:15:00Z,4.3
20170607T04:30:00Z,3.9
20170607T04:45:00Z,5.5
20170607T05:00:00Z,4.1
20170607T05:15:00Z,5.2
20170607T05:30:00Z,3.9
20170607T05:45:00Z,5.6
20170607T06:00:00Z,4.8
20170607T06:15:00Z,5.3
20170607T06:30:00Z,4.3
20170607T06:45:00Z,4.3
20170607T07:00:00Z,4.3
20170607T07:15:00Z,4.1
20170607T07:30:00Z,4.6
20170607T07:45:00Z,4.3
20170607T08:00:00Z,4.1
20170607T08:15:00Z,5.1
20170607T08:30:00Z,6.5
20170607T08:45:00Z,5.3
20170607T09:00:00Z,4.2
20170607T09:15:00Z,5.2
20170607T09:30:00Z,4.4
20170607T09:45:00Z,5.1
20170607T10:00:00Z,4.6
20170607T10:15:00Z,5.3
20170607T10:30:00Z,3.5
20170607T10:45:00Z,4.6
20170607T11:00:00Z,3.8
20170607T11:15:00Z,2.3
20170607T11:30:00Z,1.6
20170607T11:45:00Z,3.5
20170607T12:00:00Z,2.9
20170607T12:15:00Z,3
20170607T12:30:00Z,3.9
20170607T12:45:00Z,2.7
20170607T13:00:00Z,4.8
20170607T13:15:00Z,4.3
20170607T13:30:00Z,2.7
20170607T13:45:00Z,4.3
20170607T14:00:00Z,4.3
20170607T14:15:00Z,5.1
20170607T14:30:00Z,4.5
20170607T14:45:00Z,4.4
20170607T15:00:00Z,2.8
20170607T15:15:00Z,3.8
20170607T15:30:00Z,2.7
20170607T15:45:00Z,1.8
20170607T16:00:00Z,2.4
20170607T16:15:00Z,3.6
20170607T16:30:00Z,4.5
20170607T16:45:00Z,4.4
20170607T17:00:00Z,3.6
20170607T17:15:00Z,4.5
20170607T17:30:00Z,3.8
20170607T17:45:00Z,2.9
20170607T18:00:00Z,2.6
20170607T18:15:00Z,2.1
20170607T18:30:00Z,2.8
20170607T18:45:00Z,2.8
20170607T19:00:00Z,4
20170607T19:15:00Z,3.2
20170607T19:30:00Z,2.9
20170607T19:45:00Z,2.3
20170607T20:00:00Z,3.2
20170607T20:15:00Z,2.6
20170607T20:30:00Z,2.4
20170607T20:45:00Z,3.8
20170607T21:00:00Z,2.4
20170607T21:15:00Z,2.3
20170607T21:30:00Z,2
20170607T21:45:00Z,3.1
20170607T22:00:00Z,3
20170607T22:15:00Z,2.9
20170607T22:30:00Z,2.8
20170607T22:45:00Z,2.8
20170607T23:00:00Z,4.1
20170607T23:15:00Z,3.7
20170607T23:30:00Z,3.7
20170607T23:45:00Z,3.6
20170608T00:00:00Z,3.6
20170608T00:15:00Z,4.5
20170608T00:30:00Z,2.7
20170608T00:45:00Z,3.8
20170608T01:00:00Z,5.2
20170608T01:15:00Z,4.5
