date,pH,salinity,temp
4/4/17,7.936925824,27.460552,10.23597
4/4/17,7.93310687,27.460552,10.35662333
4/4/17,7.931702245,27.460552,10.41548
4/4/17,7.926141176,27.460552,10.59992333
4/4/17,7.9379549,27.460552,10.67796667
4/4/17,7.940205626,27.460552,10.697
4/4/17,7.932444239,27.460552,10.73505333
4/4/17,7.945177047,27.460552,10.78421333
4/4/17,7.94019939,27.460552,10.76927
4/4/17,7.931808951,27.460552,10.75360667
4/4/17,7.920546673,27.460552,10.78096667
4/4/17,7.940380503,27.460552,10.79413667
4/4/17,7.91758732,27.460552,10.66597
4/4/17,7.907566754,27.460552,10.54888333
4/4/17,7.912952179,27.460552,10.38051
4/4/17,7.919772977,27.460552,10.26293333
4/4/17,7.919732991,27.460552,10.13050333
4/4/17,7.930810193,27.460552,10.04728333
4/4/17,7.888439095,27.460552,10.02834667
4/4/17,7.889986723,27.460552,9.996593333
4/4/17,7.912388698,27.460552,10.04715
4/4/17,7.920141539,27.460552,9.981433333
4/4/17,7.932064835,27.471957,10.04224667
4/4/17,7.940757344,27.471957,10.14389333
4/5/17,7.94141064,27.471957,10.15800333
4/5/17,7.92297127,27.471957,10.13862
4/5/17,7.939144666,27.471957,10.21762333
4/5/17,7.937600348,27.471957,10.12730333
4/5/17,7.939876917,27.471957,10.24904
4/5/17,7.937842684,27.471957,10.23981667
4/5/17,7.939471459,27.471957,10.26332667
4/5/17,7.937092613,27.471957,10.20722667
4/5/17,7.934410547,27.471957,10.13042667
4/5/17,7.933489598,27.471957,10.16314667
4/5/17,7.937491524,27.471957,10.16929
4/5/17,7.936167137,27.471957,10.16502333
4/5/17,7.93512147,27.471957,10.12092
4/5/17,7.901207451,27.471957,10.10098333
4/5/17,7.932431952,27.471957,10.10301333
4/5/17,7.936115677,27.471957,10.08360333
4/5/17,7.938550219,27.471957,10.09732667
4/5/17,7.939610753,27.471957,10.11190333
4/5/17,7.930851063,27.471957,10.15564333
4/5/17,7.932590814,27.471957,10.15329
4/5/17,7.933103643,27.471957,10.24204333
4/5/17,7.922444704,27.471957,10.20142667
4/5/17,7.93126198,27.471957,10.21257667
4/5/17,7.931757701,27.471957,10.20447667
4/5/17,7.927292222,27.471957,10.16822667
4/5/17,7.91522986,27.471957,10.14395333
4/5/17,7.907268437,27.471957,10.12597
4/5/17,7.908278075,27.471957,10.11551
4/5/17,7.896364673,27.471957,10.00583
4/5/17,7.904025909,27.471957,9.90437
4/5/17,7.885529263,27.471957,9.837696667
4/5/17,7.926794612,27.471957,9.860686667
4/5/17,7.926225558,27.471957,9.845113333
4/5/17,7.91052524,27.471957,9.75877
4/5/17,7.919021203,27.471957,9.768766667
